,Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor
0,"Rua Caramuru, 100 ",Saúde,São Paulo,380,9,4,4,3700000
1,"Alameda Franca, 587 ",Jardim Paulista,São Paulo,137,9,2,1,2600000
2,"Alameda Franca, 587 ",Jardim Paulista,São Paulo,142,9,2,1,2600000
3,Alameda Franca,Jardim Paulista,São Paulo,150,9,2,1,2600000
4,Alameda Franca,Jardim Paulista,São Paulo,155,9,2,1,2600000
5,Alameda Franca,Jardim Paulista,São Paulo,137,9,3,1,2600000
6,Rua Manoel Benavente,Vila Picinin,São Paulo,240,9,6,1,600000
7,Avenida Doutor Alberto Penteado,Jardim Sílvia (Zona Oeste),São Paulo,1500,8,4,6,19000000
8,,Pacaembu,São Paulo,785,8,6,8,15000000
9,"Avenida IV Centenário, 544 ",Jardim Luzitânia,São Paulo,675,8,6,9,9900000
10,,Santa Cecília,São Paulo,466,8,6,7,2990000
11,,Vila Ida,São Paulo,527,8,8,8,2850000
12,Alameda Franca,Jardim Paulista,São Paulo,200,8,3,1,2600000
13,Rua Doutor Veiga Filho,Santa Cecília,São Paulo,466,8,5,7,2590000
14,Rua Doutor Veiga Filho,Santa Cecília,São Paulo,471,8,5,7,2590000
15,Rua João Álvares Soares,Campo Belo,São Paulo,390,8,2,4,2500000
16,Rua Guararema,Bosque da Saúde,São Paulo,600,8,7,5,2300000
17,Rua Guararema,Bosque da Saúde,São Paulo,605,8,7,5,2300000
18,Rua Guararema,Bosque da Saúde,São Paulo,605,8,7,5,2300000
19,"Rua Turiassu, 189 ",Perdizes,São Paulo,300,8,4,1,2000000
20,,Vila Sabrina,São Paulo,500,8,5,1,990000
21,Rua Manuel Francisco Alves,Parque Casa de Pedra,São Paulo,232,8,3,1,500000
22,Rua Brigadeiro Armando Trompowsky,Jardim Morumbi,São Paulo,1700,7,7,6,12000000
23,Rua Brigadeiro Armando Trompowsky,Jardim Morumbi,São Paulo,1705,7,7,6,12000000
24,"Rua Dinamarca, 136 ",Jardim Europa,São Paulo,600,7,7,6,10600000
25,"Rua Dentista Barreto, 318 ",Vila Carrão,São Paulo,1050,7,9,7,8000000
26,,Vila Madalena,São Paulo,627,7,5,5,7000000
27,,Jardim Leonor,São Paulo,973,7,10,6,6200000
28,Rua Inocêncio Nogueira,Cidade Jardim,São Paulo,727,7,6,7,5799000
29,Rua Inocêncio Nogueira,Cidade Jardim,São Paulo,732,7,6,7,5799000
30,,Jardim dos Estados,São Paulo,435,7,8,4,4200000
31,,Jardim dos Estados,São Paulo,440,7,8,4,4200000
32,"Rua Bernardino Machado, 321 ",Granja Julieta,São Paulo,893,7,9,4,3920000
33,"Rua Bernardino Machado, 321 ",Granja Julieta,São Paulo,898,7,9,4,3920000
34,"Rua Bernardino Machado, 321 ",Granja Julieta,São Paulo,898,7,9,4,3920000
35,"Avenida Morumbi, 444 ",Morumbi,São Paulo,800,7,7,4,3500000
36,,Vila Ida,São Paulo,428,7,6,4,3300000
37,Praça Doutor João Guilherme Flocke,Vila Madalena,São Paulo,380,7,5,6,3200000
38,Praça Doutor João Guilherme Flocke,Vila Madalena,São Paulo,380,7,6,4,3200000
39,Rua Sílvio Portugal,Pacaembu,São Paulo,870,7,1,6,3200000
40,Rua Sílvio Portugal,Pacaembu,São Paulo,875,7,1,6,3200000
41,Avenida Lins de Vasconcelos,Vila Mariana,São Paulo,400,7,5,2,3200000
42,,Vila Madalena,São Paulo,380,7,5,6,2900000
43,,Vila Madalena,São Paulo,385,7,5,6,2900000
44,Rua Alvilândia,Vila Madalena,São Paulo,380,7,5,2,2900000
45,,Vila Madalena,São Paulo,385,7,5,6,2900000
46,,Vila Madalena,São Paulo,385,7,5,6,2900000
47,Rua Vicente Leporace,Campo Belo,São Paulo,480,7,8,4,2750000
48,Rua Vicente Leporace,Campo Belo,São Paulo,485,7,8,4,2750000
49,"Rua Graham Bell, 332 ",Santo Amaro,São Paulo,772,7,7,6,2700000
50,,Santo Amaro,São Paulo,730,7,7,6,2700000
51,,Alto de Pinheiros,São Paulo,461,7,6,7,2650000
52,,Alto de Pinheiros,São Paulo,466,7,6,7,2650000
53,,Alto de Pinheiros,São Paulo,466,7,6,7,2650000
54,Rua Gaurama,Jardim Franca,São Paulo,450,7,8,6,2199997
55,Rua Gaurama,Jardim Franca,São Paulo,455,7,8,6,2199997
56,Rua Gaurama,Jardim Franca,São Paulo,455,7,8,6,2199997
57,"Rua Camundo, 119 ",Planalto Paulista,São Paulo,365,7,1,3,1915000
58,,Santana,São Paulo,340,7,6,4,1596000
59,Rua Marquês Olinda,Vila Dom Pedro I,São Paulo,300,7,3,2,1300000
60,Rua Marquês Olinda,Vila Dom Pedro I,São Paulo,305,7,3,2,1300000
61,Rua Marquês Olinda,Vila Dom Pedro I,São Paulo,305,7,3,2,1300000
62,,Jardim Vila Carrão,São Paulo,200,7,5,1,1200000
63,,Vila Maria Alta,São Paulo,390,7,6,2,1200000
64,,Jardim Japão,São Paulo,300,7,4,2,1170000
65,,Jardim Japão,São Paulo,305,7,4,2,1170000
66,,Jardim Japão,São Paulo,305,7,4,2,1170000
67,,Jardim América,São Paulo,700,6,7,10,23000000
68,,Jardim América,São Paulo,700,6,8,10,22800000
69,,Jardim América,São Paulo,705,6,8,10,22800000
70,,Jardim Leonor,São Paulo,1000,6,9,10,22000000
71,,Jardim Teresa,São Paulo,900,6,8,8,22000000
72,,Jardim Teresa,São Paulo,905,6,8,8,22000000
73,Rua Jacarezinho,Jardins,São Paulo,1200,6,7,8,19800000
74,Rua Jacarezinho,Jardins,São Paulo,1205,6,7,8,19800000
75,,Retiro Morumbi,São Paulo,1800,6,9,10,19000000
76,Rua Antônio de Gouveia Giudice,Alto de Pinheiros,São Paulo,700,6,7,6,18000000
77,,Jardim Europa,São Paulo,1050,6,6,10,18000000
78,Rua Campo Verde,Jardim Europa,São Paulo,880,6,7,10,15000000
79,Rua Campo Verde,Jardim Europa,São Paulo,1150,6,10,6,15000000
80,Rua Campo Verde,Jardim Europa,São Paulo,1155,6,10,6,15000000
81,Rua Campo Verde,Jardim Europa,São Paulo,1150,6,10,10,15000000
82,Rua Campo Verde,Jardim Europa,São Paulo,1155,6,10,10,15000000
83,,Jardim Paulistano,São Paulo,934,6,6,7,14000000
84,,Jardim Paulista,São Paulo,1100,6,7,6,14000000
85,,Jardim Paulista,São Paulo,1105,6,7,6,14000000
86,"Rua San Salvador, 0 ",Jardim América,São Paulo,664,6,5,5,12990000
87,"Rua San Salvador, 0 ",Jardim América,São Paulo,669,6,5,5,12990000
88,"Rua San Salvador, 0 ",Jardim América,São Paulo,669,6,5,5,12990000
89,,Morumbi,São Paulo,1800,6,6,10,11500000
90,,Morumbi,São Paulo,1805,6,6,10,11500000
91,Rua Suécia,Jardim Europa,São Paulo,700,6,6,8,10900000
92,Avenida George Saville Dodd,Jardim Guedala,São Paulo,750,6,7,4,10500000
93,Avenida George Saville Dodd,Jardim Guedala,São Paulo,755,6,7,4,10500000
94,Rua Lourenço de Almeida Prado,Vila Tramontano,São Paulo,1337,6,10,10,10000000
95,Rua dos Alcatrazes,Chácara Flora,São Paulo,1300,6,6,9,10000000
96,Rua dos Alcatrazes,Chácara Flora,São Paulo,1305,6,6,9,10000000
97,Rua Heitor de Morais,Pacaembu,São Paulo,468,6,5,6,10000000
98,,Jardim Paulistano,São Paulo,720,6,6,5,9800000
99,Rua Professor Luciano Gualberto,Jardim Morumbi,São Paulo,1200,6,6,7,9000000
100,Rua Professor Luciano Gualberto,Jardim Morumbi,São Paulo,1205,6,6,7,9000000
101,Rua Lourenço de Almeida Prado,Vila Tramontano,São Paulo,1200,6,7,8,9000000
102,,Vila Tramontano,São Paulo,840,6,10,7,8900000
103,,Vila Tramontano,São Paulo,845,6,10,7,8900000
